Batch Directory Path Name                                     	Isotope	Src	Park	Mode	AR	CntLim								
========================================================	=======	===	====	====	==	======								
C:\Users\ams254\Documents\Results\USAMS061821R.txt	14C	SNICS	0	nrm	no	100								
														
Run Completion Time       	Pos	Meas	Sample Name	Num	Cycles	le12C      	le13C      	he12C      	he13C      	CntTotH	CntTotS	CntTotGT	13/12he    	14/12he    
========================	===	====	===========	===	======	===========	===========	===========	===========	=======	=======	========	===========	===========
Fri Jun 25 13:16:20 2021	24	10	TIRI-I_5mg	U	  900.819241	-2.210912E-6	-9.096802E-9	 3.113291E-6	 3.277219E-8	9008	9008	154	 1.052654E-2	2.639047E-13
Fri Jun 25 13:30:26 2021	25	1	NOSAMS2_5mg	U	  900.524830	-2.729304E-6	-1.178176E-8	 3.852228E-6	 4.123415E-8	9005	9005	658	 1.070397E-2	9.115950E-13
Fri Jun 25 13:31:59 2021	25	2	NOSAMS2_5mg	U	  900.784830	-2.716711E-6	-1.381332E-8	 3.883793E-6	 4.163739E-8	9008	9008	668	 1.072081E-2	9.176628E-13
Fri Jun 25 13:33:32 2021	25	3	NOSAMS2_5mg	U	  900.810530	-2.595664E-6	-1.108909E-8	 3.708740E-6	 3.985977E-8	9008	9008	651	 1.074752E-2	9.364937E-13
Fri Jun 25 13:35:05 2021	25	4	NOSAMS2_5mg	U	  900.784779	-2.492654E-6	-7.093798E-9	 3.568460E-6	 3.830663E-8	9008	9008	593	 1.073478E-2	8.866180E-13
Fri Jun 25 13:36:38 2021	25	5	NOSAMS2_5mg	U	  900.794874	-2.423402E-6	-1.364194E-8	 3.462980E-6	 3.701906E-8	9008	9008	603	 1.068994E-2	9.290204E-13
Fri Jun 25 13:38:11 2021	25	6	NOSAMS2_5mg	U	  900.350916	-2.355253E-6	-1.290644E-8	 3.355233E-6	 3.596236E-8	9004	9004	606	 1.071829E-2	9.640995E-13
Fri Jun 25 13:39:44 2021	25	7	NOSAMS2_5mg	U	  900.644525	-2.277864E-6	-9.710914E-9	 3.256088E-6	 3.482408E-8	9006	9006	552	 1.069506E-2	9.046347E-13
Fri Jun 25 13:41:17 2021	25	8	NOSAMS2_5mg	U	  900.691603	-2.213397E-6	-8.657641E-9	 3.147453E-6	 3.378182E-8	9007	9007	575	 1.073306E-2	9.748016E-13
Fri Jun 25 13:42:51 2021	25	9	NOSAMS2_5mg	U	  900.811663	-2.134252E-6	-4.890851E-9	 3.051773E-6	 3.271539E-8	9008	9008	485	 1.072012E-2	8.478896E-13
Fri Jun 25 13:44:24 2021	25	10	NOSAMS2_5mg	U	  900.632316	-2.071612E-6	-4.323155E-9	 2.957635E-6	 3.167586E-8	9006	9006	508	 1.070986E-2	9.165482E-13
Fri Jun 25 14:01:34 2021	26	1	LiveGas_22	S	  900.619456	-5.043106E-6	-3.939536E-8	 7.251110E-6	 7.710676E-8	9006	9006	1305	 1.063379E-2	9.603919E-13
Fri Jun 25 14:03:08 2021	26	2	LiveGas_22	S	  900.810366	-5.109055E-6	-3.387906E-8	 7.330334E-6	 7.787596E-8	9008	9008	1284	 1.062379E-2	9.345266E-13
Fri Jun 25 14:04:41 2021	26	3	LiveGas_22	S	  900.629515	-5.004292E-6	-3.855988E-8	 7.165022E-6	 7.611132E-8	9006	9006	1291	 1.062262E-2	9.614935E-13
Fri Jun 25 14:06:14 2021	26	4	LiveGas_22	S	  900.698355	-4.898300E-6	-2.991233E-8	 7.017701E-6	 7.458960E-8	9007	9007	1283	 1.062878E-2	9.755201E-13
Fri Jun 25 14:07:47 2021	26	5	LiveGas_22	S	  900.586882	-4.798036E-6	-3.048360E-8	 6.883309E-6	 7.319696E-8	9006	9006	1280	 1.063398E-2	9.923637E-13
Fri Jun 25 14:09:20 2021	26	6	LiveGas_22	S	  900.451249	-4.707197E-6	-3.097631E-8	 6.751358E-6	 7.176921E-8	9005	9005	1214	 1.063034E-2	9.597344E-13
Fri Jun 25 14:10:53 2021	26	7	LiveGas_22	S	  900.773491	-4.604373E-6	-2.852701E-8	 6.599098E-6	 7.028596E-8	9008	9008	1206	 1.065084E-2	9.750590E-13
Fri Jun 25 14:12:26 2021	26	8	LiveGas_22	S	  900.706549	-4.510981E-6	-2.648473E-8	 6.458870E-6	 6.876684E-8	9007	9007	1181	 1.064688E-2	9.756495E-13
Fri Jun 25 14:13:59 2021	26	9	LiveGas_22	S	  900.618084	-4.413284E-6	-2.553500E-8	 6.322753E-6	 6.738388E-8	9006	9006	1129	 1.065736E-2	9.528638E-13
Fri Jun 25 14:15:32 2021	26	10	LiveGas_22	S	  900.787964	-4.324777E-6	-2.725237E-8	 6.196982E-6	 6.603345E-8	9008	9008	1096	 1.065574E-2	9.436078E-13
Fri Jun 25 14:29:38 2021	27	1	C-1_15mg	B	  900.710204	-4.400548E-6	-3.525367E-8	 6.410750E-6	 6.889051E-8	9007	9007	37	 1.074609E-2	3.079581E-14
Fri Jun 25 14:31:11 2021	27	2	C-1_15mg	B	  900.799100	-4.954534E-6	-3.031222E-8	 7.163906E-6	 7.707507E-8	9008	9008	55	 1.075881E-2	4.096082E-14
Fri Jun 25 14:32:44 2021	27	3	C-1_15mg	B	  900.845314	-4.973986E-6	-3.380765E-8	 7.182545E-6	 7.722319E-8	9008	9008	47	 1.075151E-2	3.491026E-14
Fri Jun 25 14:34:17 2021	27	4	C-1_15mg	B	  900.792017	-4.916688E-6	-3.386478E-8	 7.095955E-6	 7.624054E-8	9008	9008	47	 1.074423E-2	3.533835E-14
Fri Jun 25 14:35:50 2021	27	5	C-1_15mg	B	  900.605463	-4.843576E-6	-3.967385E-8	 6.978755E-6	 7.515212E-8	9006	9006	35	 1.076870E-2	2.676328E-14
Fri Jun 25 14:37:23 2021	27	6	C-1_15mg	B	  900.648023	-4.777142E-6	-3.717813E-8	 6.870576E-6	 7.391978E-8	9006	9006	43	 1.075889E-2	3.339673E-14
Fri Jun 25 14:38:56 2021	27	7	C-1_15mg	B	  900.762370	-4.707797E-6	-3.850275E-8	 6.756711E-6	 7.278614E-8	9008	9008	41	 1.077242E-2	3.237592E-14
Fri Jun 25 14:40:29 2021	27	8	C-1_15mg	B	  900.788687	-4.634296E-6	-2.909113E-8	 6.644630E-6	 7.151324E-8	9008	9008	35	 1.076256E-2	2.810335E-14
